"id","abv","brewed_at_id","brewery_id","calories","description","ibu","img_url","mean_rating","name","num_ratings","overall_rating","retired","seasonal","beer_style_id","beer_style_rating","url"
26,5.5,,"13,171",165,"An American Wheat Beer brewed with red wheat and boat loads of amarillo hops gives this summer brew a lemony finish.  The slight haze in the bottle is from the bottle-conditioning, where yeast is added to the bottle for a secondary fermentation.  Gumballhead is a Skingraft Comics hero.  Check out Skingraft Comics and Records at www.skingraftrecords.com.  Cheers!",28,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_22764.jpg",,Three Floyds Gumballhead,"1,691",98,false,,32,100,/beer/three-floyds-gumballhead/22764/
27,4.9,,"13,466",147,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_398890.jpg",4.04,TRVE / Prairie Barrel Fermented Gose Aged on Peaches,12,98,false,Special,36,99,/beer/trve--prairie-barrel-fermented-gose-aged-on-peaches/398890/
12,8.5,,"2,726",255,"This Beer is served on DRAFT and in 750ml BROOKLYN bottles. 
 In May 2007, Garrett Oliver traveled to the 400 yr-old Schneider brewery in Kelheim, Germany, to brew Schneider-Brooklyner Hopfen-Weisse. This was dry-hopped with the local Hallertauer Saphir hop variety. In July, Drexler brought his yeast to Brooklyn and brewed Brooklyner-Schneider Hopfen-Weisse, choosing the American Amarillo and Palisade varieties for the dry-hopping. Now you can taste the result, the latest beer in our Brewmaster's Reserve series. The beer has a full orange color and the aromatics pair the banana and clove notes from the Schneider yeast with the mango and citrus qualities of the hops. The bitterness is robust but balanced, and the beer has a clean, hoppy finish.  Brooklyner-Schneider Hopfen-Weisse pairs well with Caribbean seafood preparations, crab cakes, jerk chicken, Thai cuisine, Szechuan cooking and many Mexican dishes.??",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_78068.jpg",,Brooklyner-Schneider Hopfen-Weisse,547,99,false,Special,73,99,/beer/brooklyner-schneider-hopfen-weisse/78068/
13,5.1,,"13,090",153,Double Passionfruit Gose.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_508567.jpg",3.97,The Veil Never Never Forever Forever,28,99,false,,36,99,/beer/the-veil-never-never-forever-forever/508567/
14,9.25,,"9,329",278,"Do not waste time attempting to box this brew into some esoteric guide to styles. This is Dan's bold creation. His passion for unfiltered Weiss collides with Cascade Hops inventing our Imperial Hefe-Weizen. Dry hopping boldly rules over Wisconsin red wheat and our special strain of Bavarian yeast. At almost 20 O.P. this is the super mac daddy of Weiss beers. Decoction mashing was followed by excessive dry hopping to create a fierce onslaught of clove, cinnamon and citrus all in this living beer. Don't bother waiting to enjoy - the time is now.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_83995.jpg",,New Glarus Thumbprint Series Imperial Weizen,464,99,false,Series,73,99,/beer/new-glarus-thumbprint-series-imperial-weizen/83995/
15,6.8,"10,635","12,491",204,Wheat beer aged for 8 months in red wine barrels and refermented with multiple strains of Brettanomyces.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_152174.jpg",,Stillwater Barrel Aged Series - Cellar Door,90,99,false,Special,76,100,/beer/stillwater-barrel-aged-series--cellar-door/152174/
17,3.6,,390,108,"A SOUR/SALTY wheat ale with AZ blood oranges (Steadfast Farms), AZ salt & Sonoran White Wheat (Hayden Flour Mills).",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_418985.jpg",4.08,Arizona Wilderness Blood Orange Gose,13,99,false,,36,99,/beer/arizona-wilderness-blood-orange-gose/418985/
18,8.9,,"10,047",267,"Inspired by the Gose style of salted sour beers, this sour mash golden ale was aged in white wine barrels. Next it spent extended aging on generous amounts of watermelon juice, which comes through in the nose and on the palette. The result is tart, dry, and luscious, like a ripe salted chunk of watermelon in a glass.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_355182.jpg",3.92,Paradox Beer Skully Barrel No. 30 (Salty Melons),36,99,false,Series,36,99,/beer/paradox-beer-skully-barrel-no-30-salty-melons/355182/
20,4,,"4,110",120,A Gose style ale dry hopped with Amarillo hops,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_331188.jpg",3.94,De Garde Amarillo Hose,25,98,false,,36,99,/beer/de-garde-amarillo-hose/331188/
21,4.7,,"9,658",141,"Historic interpretation of a white ale brewed with ginger root, chamomile and lemon balm. Mixed fermentation with saccharomyces and lactobaccilus.",14,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_277635.jpg",3.97,OEC Albus,21,98,false,,76,94,/beer/oec-albus/277635/
24,7,,"7,082",210,"One Trick Pony is a collaborative brew with Omnipollo from Sweden. Brewed here in Miami, this Imperial Lassi Gose style German Ale is brewed with Mango, Dragon Fruit, Passion Fruit, Sea Salt, and Lactose.",10,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_483801.jpg",,J. Wakefield / Omnipollo One Trick Pony,51,98,false,Special,36,99,/beer/j-wakefield--omnipollo-one-trick-pony/483801/
25,5.2,,"8,117",156,"Has a cloudy, straw-colored appearance with a thick, creamy head.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_902.jpg",,Live Oak Hefe Weizen,366,98,false,,4,100,/beer/live-oak-hefe-weizen/902/
156,,,"6,469",,"Released May 2014, Editor's Note: This version aged in Bourbon barrels only  500ML bottle no-wax",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_266073.jpg",,Hill Farmstead Everett - Bourbon Barrel Aged (2014-),90,99,false,Special,42,100,/beer/hill-farmstead-everett--bourbon-barrel-aged-2014-/266073/
28,4.8,"1,060","5,929",144,"Aggressively dry hopped with new German aroma hops Mandarina Bavaria and Huell Melon; orange zest to boost. Lightly toasted white oak provides tannin's and mouthfeel. Assertively tart, with light sea salt appearing on the finish",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_338247.jpg",,Grimm Super Going,64,98,false,,36,99,/beer/grimm-super-going/338247/
30,4,,"14,139",120,"This is our interpretation of Gose, a traditional German sour wheat beer brewed with coriander and salt. But this time, we decided to citrus-it-up and throw some ultra-tart Yuzu juice into the mix!",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_236139.jpg",,Westbrook Gozu,182,98,false,Special,36,99,/beer/westbrook-gozu/236139/
32,4.7,"1,060","5,929",141,"Super Spruce owes its immense pine aromatics to a double dose of resin. The new growth of spruce trees layered with Chinook hops create a complex profile of fresh pine that includes floral, citrus, cola, and bubble gum undertones. This unboiled beer is luminous and hazy with a grapefruit-like acidity that perfectly showcases the bright coniferous flavors. Sea salt rounds the mouthfeel, while white oak provides tannic structure.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_388781.jpg",,Grimm Super Spruce,63,98,false,,36,99,/beer/grimm-super-spruce/388781/
34,6.8,,"13,274",204,Oak fermented gose brewed with wheat and sea salt.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_416421.jpg",3.9,Tired Hands PermaShore,22,97,false,,36,99,/beer/tired-hands-permashore/416421/
35,4,,390,120,"With our friends from Beavertown Brewing out of London, England, we brewed up a historical style with an Arizona twist. We smoked some Malta with pine cones we collected on an adventure to northern Arizona and used them to add a smoky component to this lesser-known style. With earthy and piney resinous characteristics to balance out the smoke, this beer has a wide range of flavors but is truly sessionable.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_329099.jpg",4.03,Arizona Wilderness / Beavertown Opinyonated Gratzer,11,98,false,,36,99,/beer/arizona-wilderness--beavertown-opinyonated-gratzer/329099/
37,6.5,,273,195,"This is a variation on the classic Belgian Witbier style, but aged in French Oak Chardonnay barrels Brewed with lemon peel, black peppercorns and corriander (sic). 
Triple fermented - first in the tank with Belgian yeast, second in french oak Chardonnay barrels with brettanomyces, and finally in the bottle with a third yeast for natural carbonation.",20,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_146191.jpg",,Anchorage Whiteout Wit Bier,402,97,false,,76,100,/beer/anchorage-whiteout-wit-bier/146191/
39,5.4,,"4,110",162,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_376944.jpg",4.01,De Garde Cherry Raz Gose,11,97,false,,36,98,/beer/de-garde-cherry-raz-gose/376944/
40,4.9,,"13,090",147,Gose Ale with Passionfruit,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_471315.jpg",3.85,The Veil Never Forever,26,97,false,Special,36,98,/beer/the-veil-never-forever/471315/
64,5.5,,"12,787",165,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_187216.jpg",3.93,Tampa Bay Gourds Gone Wild Pumpkin,24,98,false,Special,68,100,/beer/tampa-bay-gourds-gone-wild-pumpkin/187216/
"1,302",,,"6,455",,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_55701.jpg",3.67,Highlands Hollow Thunder Monkey,10,88,false,Winter,10,98,/beer/highlands-hollow-thunder-monkey/55701/
41,5.9,,"9,329",177,This living beer is Dan's bold Hopped Wheat creation. You hold the return of Crack'd Wheat the marriage of a sophisticated Bavarian Hefeweiss and an American Pale Ale. Amarillo dry hopping consorts with Wisconsin Red Wheat. Traditional Open Top fermentation cultivates our proprietary Bavarian Weiss yeast in our dedicated Wheat Beer Cellar. Absolutely 100% natural bottle conditioned this is a Living beer.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_98770.jpg",,New Glarus Hopster,394,98,false,,32,100,/beer/new-glarus-hopster/98770/
157,5.3,,"4,050",159,,29,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_299129.jpg",,Dangerous Man Peanut Butter Porter,43,99,false,,42,100,/beer/dangerous-man-peanut-butter-porter/299129/
42,4.9,,"8,960",147,"Fruitlands is tart, fruity, & frighteningly delicious. The sour, salty base beer lays down the funky refreshment while a heavy dose of passion fruit and guava turns the whole thing into a wall-to-wall tropical fruit fiesta. It's a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_374545.jpg",,Modern Times Fruitlands - Passion Fruit & Guava,79,97,false,Special,36,98,/beer/modern-times-fruitlands--passion-fruit-guava/374545/
44,4,,"10,782",120,"A sour, salty, and unfiltered wheat beer style that almost went extinct.  Originally brewed in the German city of Goslar, and now predominantly brewed in Leipzig.  Very refreshing and flavorful!",10,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_172214.jpg",,Rapp Gose,121,97,false,,36,98,/beer/rapp-gose/172214/
47,4.2,,"10,151",126,"Gose-style ale brewed with salt, orange peel, lemon peel and key lime juice from Brewer Andy Hille. The ideal drink after a long summer day working in the yard, picking the kids up from soccer practice, or a taking the dog for a walk. Tart and refreshing, it will certainly make you feel alright.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_347607.jpg",,Perennial Suburban Beverage,123,97,false,Summer,36,98,/beer/perennial-suburban-beverage/347607/
49,4,,"4,110",120,A gose style ale aged in oak barrels and dry hopped.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_343203.jpg",3.87,De Garde Azacca Hose,19,97,false,,36,98,/beer/de-garde-azacca-hose/343203/
50,5.4,,"8,584",162,Jungle Boogie is an American Wheat beer with just enough complex malt character to balance the juicy Mosaic hops and rooibos tea flavors. Canned version brewed at Against the Grain.,44,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_303531.jpg",,Marz Jungle Boogie,62,97,false,,32,100,/beer/marz-jungle-boogie/303531/
51,8.6,,"12,231",258,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_161355.jpg",,Southern Tier Oaked Pumking,67,99,false,Winter,68,100,/beer/southern-tier-oaked-pumking/161355/
52,5.5,,"9,424",165,Golden Milk Stout with Portola Coffee. Originally brewed with Portola's Don Pachi Coffee in collaboration with Playground DTSA and Portola Coffee. First called Don's Naughty Sauce.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_195780.jpg",,Noble Ale Works Naughty Sauce,44,99,false,Special,68,100,/beer/noble-ale-works-naughty-sauce/195780/
53,4.7,,"11,737",141,Served on nitrogen.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_80072.jpg",4.09,Selins Grove Pumpkin Ale,38,99,false,Autumn,68,100,/beer/selins-grove-pumpkin-ale/80072/
55,11,,"6,139",330,"Gingerbread Stout Aged in Virginia Bourbon Barrels 
Hardywood Gingerbread Stout, described by BeerAdvocate as ??freagin' Christmas in a bottle,?? is an imperial milk stout brewed with vanilla beans, cinnamon, fresh Casselmonte Farm baby ginger and Bearer Farms wildflower honey. Gingerbread Stout is then matured in Virginia bourbon barrels, where it adapts an incredibly mellow character with oak, caramel and bourbon undertones, and emerges 12 weeks later as Bourbon GBS. A festive blend of spice character laces this rich, chocolatey stout, which warms the palate and the soul.",55,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_194165.jpg",,Hardywood Bourbon GBS (Gingerbread Stout),138,99,false,Special,68,100,/beer/hardywood-bourbon-gbs-gingerbread-stout/194165/
70,7,,173,210,"Brewed with 300 #'s fresh shredded pumpkin and 200 #'s of toasted pumpkin seed (for 15 bbl batch). No spices. Beer was cooled in our cool ship on Halloween night 2008. It was then piteched with our house strain, and after primary ferment, it was placed in french oak (previously holding Chardonnay).",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_111792.jpg",,Allagash Ghoulschip,107,98,false,Special,68,100,/beer/allagash-ghoulschip/111792/
56,7.8,,"8,828",234,"Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.
 
This is the same award-winning recipe that garnered a GOLD MEDAL at GABF in 2007. Formerly known simply as Imperial Chocolate Pumpkin Porter, we've named it T.R.E.A.T.: The Royal Eccentric Ale Treatment.
 
TREAT melds rich decadent flavors into an enticing brew that is perfect for pairing with both sweet and savory dishes. Add depth to desserts like pumpkin cheesecake, bread pudding and tiramisu. Reduce this porter down then glaze grilled meats. Mix Moroccan spices with TREAT to marinate lamb shanks before slow-roasting. The options are endless. But the most important step is pouring yourself a lovely glass of TREAT to enjoy with the rewarding results of your efforts.
 
With so many tones and textures to experience, will you find this brew?? Demented??or delightful?",30,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_66804.jpg",,Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter,446,99,false,Autumn,68,100,/beer/midnight-sun-treat-imperial-chocolate-pumpkin-porter/66804/
58,9.5,,"14,267",285,"Xibalba is our pumpkin ale, brewed with cacao nib, ancho, serrano, and habenaro chiles with fall spices. This version has been Bourbon barrel aged with ancho chiles, cacao nibs, vanilla and pumpkin spices.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_449596.jpg",3.97,Wicked Weed Barrel Aged Xibalba,24,99,false,Autumn,68,100,/beer/wicked-weed-barrel-aged-xibalba/449596/
60,18.1,,530,543,"Imperial Pumpkin Ale brewed with pumpkin puree and a blend of five spices. Aged in extremely fresh Gosling's Rum barrels for six months. Consume early and often, preferably with a pumpkin pie and/or s'mores.",15,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_131832.jpg",,Avery Rumpkin,453,99,false,Special,68,100,/beer/avery-rumpkin/131832/
63,5.5,,"1,627",165,A traditional dunkel weizen beer with 14 pounds of chocolate added to the secondary finishing.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_118646.jpg",3.96,Blue Tractor Schakolad Weizen,23,98,false,Winter,68,100,/beer/blue-tractor-schakolad-weizen/118646/
65,16.54,,530,496,"Annual Barrel Series.
 
Porter brewed with pumpkin & spices - aged in bourbon barrels.   
2014 vintage (1): 16.54% abv  
2014 vintage (2): 17.22% abv",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_287723.jpg",,Avery Pump[KY]n,248,98,false,Autumn,68,100,/beer/avery-pumpkyn/287723/
66,12.9,,"11,422",387,"The base beer of BB9 is Pumpkinator. This beer pours a dark brown to black color with a tan head. The nose is pumpkin spice up front with oak, bourbon, vanilla and dark fruit in the background. The taste starts with sweet chocolate and pumpkin spice up front and finishes with a bit of alcohol heat and spices. This beer has a medium-full body with a soft mouthfeel. BB9 was aged in both Woodford Reserve and Willett bourbon barrels and blended prior to packaging.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_328320.jpg",3.92,Saint Arnold Bishop??s Barrel #9,24,98,false,,68,100,/beer/saint-arnold-bishops-barrel-9/328320/
67,5,,"4,698",150,"A pumpkin ale with the attitude of a world-weary barista, Punkuccino packs a short shot of Stumptown coffee toddy in your pint with a shake of cinnamon and nutmeg.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_232495.jpg",,Elysian Punkuccino Coffee Pumpkin Ale,147,98,false,Autumn,68,100,/beer/elysian-punkuccino-coffee-pumpkin-ale/232495/
68,10.7,,"12,231",321,"Ale brewed with pumpkins. Natural flavours, 2 varieties of hops and 2 types of Malts.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_300262.jpg",,Southern Tier Rum Barrel Aged Pumking,95,98,false,Autumn,68,100,/beer/southern-tier-rum-barrel-aged-pumking/300262/
69,8.5,,"3,524",255,"This high-gravity gob of gourd-y goodness incorporates pumpkin in the mashing process and then gets wicked with the spices including Ceylon cinnamon, Jamaican all spice, Zanzibar cloves and nutmeg.",35,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_97049.jpg",,Cigar City Good Gourd Imperial Pumpkin Ale,380,97,false,Autumn,68,100,/beer/cigar-city-good-gourd-imperial-pumpkin-ale/97049/
72,10,,"11,422",300,"Important: let this beer warm to at least 50?? before enjoying. This beer is black with some ruby highlights. The nose is full of pumpkin pie spices and some alcohol. There are notes of nutmeg, caraway and vanilla. The taste starts with chocolate malt with a hint of spice and rolls into a warm spicy alcohol taste which has the effect of creating the balance that usually comes from the hop bitter. There is some hop bitter on the finish, but not much. Overall, this beer finishes relatively dry for such a big beer. As it warms, the spices move forward in the taste and the chocolate moves to the finish. The pumpkin provides a pleasant undertone and a nice mouthfeel. The spices will probably fade some over time; they mellowed considerably while still in the fermenter.
 
Originally brewed as Divine Reserve #9.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_110522.jpg",,Saint Arnold Pumpkinator Imperial Pumpkin Stout,307,97,false,Autumn,68,100,/beer/saint-arnold-pumpkinator-imperial-pumpkin-stout/110522/
73,9.5,,"6,078",285,"Named after the peoples god, the mighty Thor. This Porter is high ABV, full of robust smoked malts and chocolate notes while remaining balanced and hoppy. Finishes with the bite of Habanero and Chipotle Peppers.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_179804.jpg",3.89,HammerHeart Thor??s Imperial Porter,21,97,false,Special,68,100,/beer/hammerheart-thors-imperial-porter/179804/
74,9,,"10,269",270,"Big Ole Pale Ale with Fresno Chiles and Passion Fruit Added
 
It's a bird! It's a planet! No, It's the One Horned Wonder and His Fanciful Flying Fresno!!! This dynamic duo is taking off with Citra and Galaxy hops. But wait, this flight's just getting started. The pilots at The Aviary have turned off the fasten seat belt sign. This in-flight pale ale features a passion fruit puree and a hint of Freno chile to bump it up to first class. Please, sit back and enjoy the flight.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_244254.jpg",3.88,Pipeworks The One Horned Wonder and His Fanciful Flying Fresno,22,98,false,Special,68,99,/beer/pipeworks-the-one-horned-wonder-and-his-fanciful-flying-fresno/244254/
75,7.6,,"4,753",228,"This wise old beer shows off lots of herbal funk. Brewed with rosemary, sage and thyme then aged in old Brainless on Peaches casks with Brettanomyces yeast. Flavors of tropical citrus mix with chardonnay notes and a funky, slightly tart finish.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_244647.jpg",3.83,Epic Old Sage Brett,33,97,false,,68,100,/beer/epic-old-sage-brett/244647/
77,9.5,,"7,749",285,"Our Brandy Barrel-Aged Imperial Pumpkin Ale pays homage to Lakefront's formative years and to our Wisconsin roots. It pours a copper-orange with a fine, off-white head. The aroma is caramel-forward, followed by cinnamon, vanilla, nutmeg, oak, and subtle brandy notes. The full, moderately bright mouthfeel starts  with cinnamon, nutmeg, and caramel malt, then yields Madagascar vanilla bean, oak, and brandy flavors. A lingering oak and malty sweetness are left on the palate; a reminder of how we've honed our craft over the years.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_286917.jpg",,Lakefront Imperial Pumpkin (2014-),50,97,false,Autumn,68,99,/beer/lakefront-imperial-pumpkin-2014-/286917/
79,9,,"3,873",270,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_14284.jpg",,Craftsman Triple White Sage,60,97,false,,68,99,/beer/craftsman-triple-white-sage/14284/
81,7.9,,"2,852",237,"A creamy oatmeal stout with rich layers of pumpkin, spice, and chocolate accents. Black Pumpkin Oatmeal Stout boasts a smooth roasted malt flavor, subtle sweetness, and the aroma of pumpkin cr??me brul??e, 7.9% ABV.",40,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_360000.jpg",,Buffalo Bills Black Pumpkin Oatmeal Stout,41,97,false,Autumn,68,99,/beer/buffalo-bills-black-pumpkin-oatmeal-stout/360000/
82,5,,"3,524",150,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_200627.jpg",3.91,Cigar City Cucumber Lager,16,97,false,,68,99,/beer/cigar-city-cucumber-lager/200627/
94,6.5,,"7,626",195,"Made with Michigan pumpkins, brown sugar and a blend of spices.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_31695.jpg",,Kuhnhenn All Hallows Ale,45,96,false,Autumn,68,99,/beer/kuhnhenn-all-hallows-ale/31695/
95,11,,"9,645",330,"Rye ale with sweet potatoes, cinnamon, nutmeg, and lactose. Aged in rye whiskey barrels.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_467840.jpg",3.85,Odd Side Ales Sweet Potato Souffl?? Rye Whiskey Barrel Aged Ale,15,96,false,,68,99,/beer/odd-side-ales-sweet-potato-souffle-rye-whiskey-barrel-aged-ale/467840/
